,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
0,1,Laraine,Medendorp,Female,93,1953-10-12 00:00:00,Executive Secretary,Health,Mass Customer,N,Yes,11.0
1,2,Eli,Bockman,Male,81,1980-12-16 00:00:00,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0
2,3,Arlin,Dearle,Male,61,1954-01-20 00:00:00,Recruiting Manager,Property,Mass Customer,N,Yes,15.0
3,4,Talbot,,Male,33,1961-10-03 00:00:00,,IT,Mass Customer,N,No,7.0
4,5,Sheila-kathryn,Calton,Female,56,1977-05-13 00:00:00,Senior Editor,,Affluent Customer,N,Yes,8.0
5,6,Curr,Duckhouse,Male,35,1966-09-16 00:00:00,,Retail,High Net Worth,N,Yes,13.0
6,7,Fina,Merali,Female,6,1976-02-23 00:00:00,,Financial Services,Affluent Customer,N,Yes,11.0
7,8,Rod,Inder,Male,31,1962-03-30 00:00:00,Media Manager I,,Mass Customer,N,No,7.0
8,9,Mala,Lind,Female,97,1973-03-10 00:00:00,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0
9,10,Fiorenze,Birdall,Female,49,1988-10-11 00:00:00,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0
10,11,Uriah,Bisatt,Male,99,1954-04-30 00:00:00,,Property,Mass Customer,N,No,9.0
11,12,Sawyere,Flattman,Male,58,1994-07-21 00:00:00,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0
12,13,Gabriele,Norcross,Male,38,1955-02-15 00:00:00,Developer I,Financial Services,High Net Worth,N,Yes,8.0
13,14,Rayshell,Kitteman,Female,85,1983-03-25 00:00:00,Account Executive,Financial Services,Affluent Customer,N,No,6.0
14,15,Erroll,Radage,Male,91,2000-07-13 00:00:00,Junior Executive,Manufacturing,Mass Customer,N,No,1.0
15,16,Harlin,Parr,Male,38,1977-02-27 00:00:00,Media Manager IV,,Mass Customer,N,Yes,18.0
16,17,Heath,Faraday,Male,57,1962-03-19 00:00:00,Sales Associate,,Affluent Customer,N,Yes,15.0
17,18,Marjie,Neasham,Female,79,1967-07-06 00:00:00,Professor,,Affluent Customer,N,No,11.0
18,19,Sorcha,Keyson,Female,76,2001-04-15 00:00:00,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0
19,20,Basile,Firth,Male,72,1980-08-13 00:00:00,Project Manager,Manufacturing,Mass Customer,N,No,11.0
20,21,Mile,Cammocke,Male,74,1980-09-20 00:00:00,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0
21,22,Deeanne,Durtnell,Female,79,1962-12-10 00:00:00,,IT,Mass Customer,N,No,11.0
